Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Miguel Pereira (RJ),"25,9","32,1",4,"95,87","56,5","1202,3","90,66","165,44","9,35","64,49","10,9","9,13","1,08","27,72","6,2","35,95","63,63","48,96","90,07",,,,24871
Milagres (BA),"29,3","34,4","3,3","93,66","35,6","949,3","189,89","272,63","14,39","60,43","7,91","5,78","4,74","32,11","15,87","46,67","79,71","31,36",100,,,,11585
Milagres (CE),"18,5","26,1","4,9","94,38","55,7",1162,"270,97","230,14","14,29","71,14","7,43","7,05","7,23","28,93","13,39","34,34","77,18","62,22","86,26","25,54",0,"94,99",28231
Milagres do Maranhão (MA),"20,2","38,7","3,3","5,63",30,"863,74","370,75","103,43","15,15","65,15","7,58","2,28","39,95","69,3","13,3","9,06","91,69","78,56",,,,,8326
Milhã (CE),"9,9","15,6","6,6",100,"41,1","1164,27","215,28","146,22","19,61","64,71","9,8","8,45","3,12","15,71","13,72","59,54","75,85","46,74",,,,,13136
Milton Brandão (PI),"51,3","56,1",,"38,74","38,3","902,06","222,14","38,79","26,67","46,67","9,33","5,38","5,62",24,"19,88","66,82","80,34","87,54",,,,,6511
Mimoso de Goiás (GO),"23,7","24,4","3,7","81,71","56,6","1079,78","138,28","96,37",,"47,06",,"3,33","8,89","52,27","13,27","27,38","56,49","53,29",100,100,100,,2702
Mimoso do Sul (ES),"24,4","28,4","4,2","94,65","50,1","1120,11","91,4","153,38","3,37","49,16","10,44","6,02","0,7","22,01","8,12","24,12","66,91","23,97","89,98","40,5",0,100,27388
Minaçu (GO),13,"22,4",5,100,"52,8","1641,02","74,14","252,52",0,"68,45","6,73","5,9","1,51","29,59","12,4","11,28","58,83","70,81","99,9","59,15",100,,30696
Minador do Negrão (AL),"33,4","64,2","3,9","86,75","33,9","806,47","270,33","87,43","13,89",75,"6,94","5,54","2,56","17,01","20,2","70,44","82,32","19,56","62,7",,,,5413
Minas do Leão (RS),"32,7","34,7","4,2",100,"56,7","1228,86","75,52","130,57",0,"54,74","3,16","8,93","0,19","18,42","8,09","21,57","62,08","29,84",100,,,100,8059
Minas Novas (MG),"13,5","32,7","4,6","88,42",51,"917,11","95,47","164,18","15,77","66,25","7,26","5,09","1,81","34,32","21,39","38,02","69,59","55,33","86,36","43,39","75,96",,32009
Minduri (MG),"22,1","25,6","4,8",100,"51,1","961,69","70,18","182,53",0,"76,09","6,52","7,56",0,"32,6","7,2","34,32","59,85","22,18","87,58","99,97",0,"99,91",3970
Mineiros do Tietê (SP),"7,8","12,3","4,8",100,"72,7","1202,36","67,26","100,07","22,39","82,84","9,7","8,98","0,81","13,21","10,24","22,81","63,17","8,18",100,100,100,100,12812
Mineiros (GO),"18,8","26,1","5,7","92,96","63,3","1418,1","40,44","153,81","13,21","84,06","10,57","5,94","4,79","34,52","10,75","9,47","42,56","45,82",100,95,0,"99,58",62750
Ministro Andreazza (RO),"15,9","21,9","5,2","98,91","55,9","1156,68","48,91","50,37",0,79,11,"3,44","6,18","35,46","8,2","11,98","52,31","14,7","89,29",,,,10751
Mirabela (MG),"7,8","26,8","3,6","99,38","78,5","837,63","191,75","307,36","21,74","73,91","8,7","8,01","1,89","29,82","12,39","38,78","74,35","55,86","78,27","35,77",100,"98,54",13726
Miracatu (SP),"10,1","8,9","4,6","57,76","56,5","1150,69","119,72","314,68","30,1","80,27","8,03","7,29","0,34","17,32","9,79","27,58","65,02","87,19",100,"89,16","99,52",100,20288
Miracema do Tocantins (TO),"21,6","31,6","4,2","91,17","50,1","1303,35","103,61","371,33","27,59","55,52","8,28","6,35","4,2","27,52","12,34","25,4","60,03","57,89",100,,,100,19055
Miracema (RJ),21,"33,4","4,7","85,85","47,7","1111,94","98,11","193,37","11,3","76,27","6,5","9,6","1,82","24,97","7,66","34,17","69,89","11,44","99,35","97,41",0,100,26551
Mirador (MA),"30,4",35,3,"40,14","14,8","785,52","305,68","93,04","9,17","41,9","7,95","4,17","11,61","48,87","14,72","68,03","91,33","96,37","29,55",,,,20613
Mirador (PR),"7,1","26,4","4,7",100,"68,2","1203,4","85,46","78,74",25,"87,5","17,5","9,94","4,25","33,61","15,74","30,56","47,44","5,96",100,,,"99,94",2314
Miradouro (MG),"14,5","29,1",5,100,"65,8","838,63","120,22","190,75","28,99","65,22","5,8","9,23","0,84","23,26","9,28","20,41","65,66","21,42","94,1",,,,10837
Mira Estrela (SP),"10,1","11,1","5,6","42,28","65,2","1190,36","32,07","158,39",,"93,33","6,67","8,21","1,89","22,27","10,96","10,08","28,95","2,93","95,77","94,93",100,100,3045
Miraguaí (RS),"16,2","36,3",4,"95,28",57,"968,63","75,18","141,5",0,"84,48","3,45","6,23","2,48","18,02",3,"29,72","54,75","16,73",100,,,100,4975
Miraíma (CE),"15,5","26,1","4,3","73,45","39,3","856,75","206,02","85,76","23,12","74,57","8,09","5,74","1,53","14,05","22,3","60,31",74,"80,8","84,42",,,,13583
Miraí (MG),"12,3","29,5","3,9","96,82","61,3","985,66","32,17","155,77","6,45","76,77","7,74","7,56","8,02","50,2","14,91","16,3","46,89","16,83","89,11",,,,14946
Miranda do Norte (MA),"16,8","40,4","4,2","39,31","43,7","1160,59","206,18",145,"5,6","49,02",7,"3,73","14,18","35,47","13,51","29,36","88,89","61,66","74,85",,,,28456
Miranda (MS),"30,5","45,1","3,7","87,68","48,6","1123,37","198,63","230,52","16,57","46,78","8,84","6,47","1,59","20,62","8,09","55,87","77,77","65,81","99,04","52,3",100,,27525
Mirandiba (PE),"22,8","28,3","3,7","76,62","24,7","951,16","243,84","186,72","12,2","75,61","9,35","6,75","5,88","25,63","13,62","63,51","81,02","78,45",100,,,,15270
Mirandópolis (SP),"3,8","8,4",5,"74,74",74,"1341,96","32,4","136,62","7,43","78,07","6,69","6,89","2,16","25,48","8,27","14,4","45,33","5,65","99,71","94,5","86,79",100,29315
Mirangaba (BA),"35,2","59,3","3,3","40,25","29,8","1030,98","187,53","75,5","24,39","66,83","5,85","4,54","2,65","16,37","11,67","49,51","80,5","64,39","35,74","23,2",100,"76,5",18729
Miranorte (TO),"21,8","31,6","3,4","88,09","41,4","1022,09","116,97","219,03","6,1","70,73","5,49","6,78","2,84","27,21","11,37","16,75","66,84","54,61",100,,,,13426
Mirante (BA),"25,3","42,3",4,"89,3","57,6","1056,03","184,82","113,75","32,61","69,57","13,04","4,8","8,23","22,43","12,3","33,39","78,22","29,11",100,,,,9578
Mirante da Serra (RO),"21,6","30,2","4,7","94,46","59,8","914,5","62,04","173,77","12,82","82,69","3,85","5,71","10,83","35,45","14,35","21,18","54,38","42,86","44,02",,,,12258
Mirante do Paranapanema (SP),"3,8","10,3","5,1","97,06","68,1","1502,8","59,64","115,07","16,67","81,67","9,44","7,94","1,06","17,58","7,94","17,15","34,62","4,1","97,93","73,74",100,,18130
Miraselva (PR),"20,2","42,7","4,1",100,"68,7","1389,34","63,8","152,35",0,"93,75",,"10,13","0,76","22,13","5,23","6,57","48,48","6,57","99,31",,,100,1875
Mirassolândia (SP),"10,3","11,8","4,2",100,"68,5","1262,73","28,24","130,56",0,"84,21","5,26","5,04","0,24","15,31","10,1","12,21","43,56","19,47","93,69","70,89",100,"99,79",4758
Mirassol D'Oeste (MT),"4,4","26,7","4,7","69,94","66,8","1319,75","69,68","172,12","9,8","60,78","8,09","6,35","1,19","32,82","9,22","10,96","48,86","35,24",95,"33,99",0,"98,51",26768
Mirassol (SP),7,"13,2","5,5","77,37",75,"1495,43","17,91","140,56","6,93","79,22","8,31","7,1","2,17","22,37","10,54","10,93","43,03","7,76",100,100,80,"87,3",58760
Miravânia (MG),"4,7","27,2","3,4",100,"66,2","886,3","248,54","93,56","19,61","78,43","7,84","4,91","0,5","29,27","19,71","6,33","75,61","78,81",100,,,,4885
Mirim Doce (SC),"5,7","13,8","5,9","94,94","54,2","1049,65","41,16","71,43",0,"95,45","9,09","8,42","0,57","20,25","7,28","6,68","21,28","69,08",100,,,100,2374
Mirinzal (MA),"20,2","29,5","3,3","9,55","17,3","656,14","313,04","108,7","12,99","38,53","6,49","4,95","28,49","60,14","7,55","63,65","88,83","87,75","28,75",,,"90,76",14744
Missal (PR),12,"24,2","5,5",100,"62,5","1288,25","54,01","150,62","7,41","82,96","5,93","6,99","4,86","32,2","7,1","20,06","41,15","16,32",100,,,100,10879
Missão Velha (CE),"14,6","31,4","4,4","73,48","35,8","981,36","231,95","174,66","10,27","76,37","8,39","6,66","14,95","36,46","12,91","57,94","78,46","71,14","75,65","2,36",100,,35409
Mocajuba (PA),"36,5","56,6","3,3","69,18","50,2","1242,18","391,14","189,65","30,93","59,18","5,57","4,06","9,22",37,"6,27","86,88","92,56","76,59","48,04",,,,30277
Mococa (SP),9,"17,3","5,2","97,26","79,2","1436,06","35,94","132,94","11,18","84,47","8,94","8,22","0,85","17,23","7,28","16,28","55,15","18,13",100,100,100,100,68994
Modelo (SC),"12,4",14,"4,7",100,"80,1","1183,86","18,92","74,88","45,45","72,73","9,09","7,63","1,49","28,29","9,05","8,21","22,43","22,15",100,,,100,4192
Moeda (MG),"26,5","42,5","4,4","73,64","77,5","1081,67","109,42","144,61",0,"90,24","9,76","10,89","0,33","27,64","6,07","37,66","71,8","23,06","98,36",,,,4957
Moema (MG),"7,3","22,8",5,100,"65,8","949,64","67,51","130,32",0,"69,23","4,62","5,18","1,49","20,82","7,84","9,25","60,59","28,9",100,"91,77",100,"89,69",7525
Mogeiro (PB),"32,6","43,2","3,1","59,44","29,2","889,33","412,17","55,99","21,62","70,81","7,57","4,74","3,21","25,89","15,61","80,03","88,23","13,49","66,03",,,100,13286
Mogi das Cruzes (SP),"4,6","9,7","4,8","80,54","69,2","1561,8","84,93","123,54","9,46","82,02","9,85","6,31","0,45","15,86","8,84","48,61","67,97","41,56","98,97","94,02",81,100,433901
Mogi Guaçu (SP),"10,1","15,6","5,6","93,67","80,5","1691,43","21,63","77,89","11,17","79,28","8,94","6,95","0,54","15,35","7,38","10,07","41,63","20,2",100,97,75,100,149396
Mogi Mirim (SP),"10,1","14,1","4,9","86,98","78,6","1712,34","17,79","101,66","10,47","84,59","7,99","7,37","0,58","18,36","9,08","15,74","50,22","8,17",100,"99,05","98,65",100,92365
Moiporá (GO),"5,8","7,3","6,3",100,"41,5","1103,35","201,61","95,66",200,100,,"11,4","2,56","26,32","9,76","28,67","68,88","33,02","99,91",,,100,1666
Moita Bonita (SE),"34,5","46,7","4,3","95,96","73,9","1160,44","101,66","181,56","9,52","69,52","7,62","7,61","0,26","15,77","9,46","16,87","63,05","8,34","98,18","99,81",0,100,11438
Moju (PA),"30,7","64,4","3,8","37,05","42,6","1125,75","293,04","120,4","17,09","37,27","7,89","3,7","11,19","31,16","8,95","14,65","90,39","74,15","13,3",,,,79825
Mombaça (CE),"16,6","23,9","4,7","71,18","38,4","850,76","155,96","236,03","10,2","82,86","7,76","6,86","5,81","24,14","19,7","46,8","76,82","79,26","72,6","63,55",0,100,43735
Mombuca (SP),"15,2","11,6","4,7",0,"74,2","1345,64","141,5","121,31",0,"73,47","8,16","8,07","0,81","17,67","9,26","45,93","59,66","8,11",100,100,100,100,3470
Monção (MA),"34,9","59,1","3,3","64,66",14,"1092,03","324,16","140,39","14,78","11,66","7,22","4,37","7,63","24,93","12,66","85,24","90,47","18,82","46,73",,,,33156
Monções (SP),"3,3","7,6","5,9",100,"76,6","1334,55","16,98","198,41",,"93,1","13,79","10,23",0,"35,44","6,8","6,23","17,65","5,66",100,100,100,"85,96",2249
Mondaí (SC),"11,2","27,5","5,5",100,"66,8","1248,69","9,14","73,08","16,53","75,21","9,09","6,18","6,42","29,35","5,58","6,11","23,01","31,65","95,46",,,100,11496
Mongaguá (SP),"11,1","19,5","4,8","70,02","67,4","1535,76","99,04","243,76","23,91","69,76","9,42","9,42","0,36","12,27","5,01","28,3","74,57","83,06","92,9","77,01",100,100,54257
Monjolos (MG),"19,7",48,"3,7","98,41",84,"1099,34","69,33","178,83",0,"85,71",,"6,45",0,"7,53","10,07","7,04","38,1","59,86","46,06",,,,2327
Monsenhor Gil (PI),"32,6","38,7","4,5","99,29","45,9","1000,99","304,28","68,12","38,46",50,"14,62","7,21","0,64","8,1","9,05","50,93","82,2","95,78","97,42",,,,10409
Monsenhor Hipólito (PI),"29,7","47,5","5,1","84,37","58,8","1299,52","272,38","108,34","12,05","63,86","8,43","7,22","26,45","55,28","21,11","44,8","75,66","47,74","97,55",,,,7621
Monsenhor Paulo (MG),"6,5","15,8","5,6","94,35","65,5","1049,69","55,23","154,85","23,81","88,1","7,14","6,89","2,72","36,17","8,58","21,67","54,76","8,2","99,21","99,95",0,100,8711
Monsenhor Tabosa (CE),"29,4","42,4","4,9","88,24","16,7","855,34","334,73","129,68","22,32","73,66","11,16","7,22","5,74","28,59","15,79","70,34","81,6","71,54","76,85",,,,17038
Montadas (PB),"30,8","42,6","3,9","85,45","62,4","1002,48","324,65","92,99","40,82","78,57","7,14","6,68",0,"18,99","10,5","78,14","86,42","3,08",0,,,"93,08",5691
Montalvânia (MG),"10,4","25,8","4,6","78,84","72,1","881,5","193,84","179,25","5,03","74,37","7,54","6,02","7,08","50,3",11,"54,36","77,19","71,87","84,5","3,2",100,100,15603
Montanha (ES),"25,6","31,3","4,1","97,37","65,2","1092,29",123,"350,15","7,38","71,22","7,01","7,01","7,47","33,52","13,96","22,29","53,28","4,03","96,04","11,62","96,39",100,19391
Montanhas (RN),"35,5","55,9","2,9","96,46","53,9","1007,15","311,78","90,23","22,99","63,22","10,92","6,95","0,18","9,87","15,99","58,84","83,59","5,27",100,,,"85,01",11503
Montauri (RS),13,"22,2","6,4",100,68,"1524,17","2,26","33,47",0,"88,24","17,65","8,41",0,"4,95","2,86",0,"4,53","26,3",100,,,100,1545
Monte Alegre de Goiás (GO),21,"34,4","4,3","83,97",26,"911,03","183,67","112,26","21,98","39,56","7,69","6,14","3,29","40,31","13,19","38,69","71,57","66,42",100,,,"99,16",8464
Monte Alegre de Minas (MG),"16,7","37,6","4,2","98,04","67,2","1068,22","52,28","230,66","7,17","83,87","5,73","5,97","0,26","9,9","10,31","14,21",42,"21,06",100,100,0,100,21095
Monte Alegre de Sergipe (SE),"37,1","47,2","3,5","72,17","58,8","1148,96","327,28","81,27","8,47","63,98","4,24","4,81","0,48","15,44","18,7","63,17","88,73","12,05","97,92",,,100,15177
Monte Alegre do Piauí (PI),"39,6","75,3",4,"76,74","18,8","1347,77","355,3","17,21","9,9","56,93","11,39","4,79","2,71","27,33","11,95","23,57","88,29","84,68","95,95",,,,10448
Monte Alegre dos Campos (RS),31,22,4,100,45,"1137,1","76,42","54,05",0,"64,1","7,69","10,77","1,3","19,9","8,67","29,93","56,54","71,17","96,75","19,97",0,100,3249
Monte Alegre do Sul (SP),"25,7","18,9","4,7",100,"67,8","1085,51","21,3","64,1","24,69","86,42","8,64","6,23","0,67","16,95","7,92","21,55","42,46","26,36",100,"83,3",0,100,7871
Monte Alegre (PA),"28,3","41,3","3,7","43,71","67,2","1283,74","280,81","156,82","25,29","49,77","6,32","5,01","3,52","22,75","5,15","29,05","86,26","79,31","36,92",,,"79,97",56466
Monte Alegre (RN),"32,5","69,5","3,2","95,32","35,7","1108,08","159,32","222,97","17,79","65,12","7,47","5,88","0,59","15,41","18,28","44,59","72,14","10,67",100,"12,16",100,,22462
Monte Alto (SP),"4,4","10,2","5,3",100,"77,6","1498,76","17,63","123,66","18,4","86,09","9,82","8,42","3,06","18,76","7,65","9,57","49,05","9,07",100,100,100,100,49979
Monte Aprazível (SP),"6,8","12,7","5,1","72,1","76,2","1537,47","47,84","173,75","4,39","87,72","11,84","7,58","11,46","40,53","6,15","39,87","55,77","6,74",100,"97,53",100,100,24393
Monte Azul (MG),"3,2","7,5","4,7","94,13","62,5","867,03","124,64","181,32","21,83","89,96","10,48","7,25","1,7","21,9","9,69","42,69","72,19","38,49",100,"4,33","80,34",,21783
Monte Azul Paulista (SP),"5,8","13,8","5,1",100,"80,3","1249,13","26,6","134,16","8,7","77,83","13,04","8,06","5,51","31,19","9,51","8,69","45,85","5,92","97,05","96,15",35,100,19234
Monte Belo do Sul (RS),"8,8","9,1","5,3",100,"54,8","1682,12","2,26","39,9",,"84,62",,"7,81",0,"10,78",,"19,64","42,86","55,71",,,,100,2689
Monte Belo (MG),"6,3","19,2","5,2",100,"77,2","1133,72","45,59","219,95","7,19","88,49","7,91","9,22","0,81","28,98","6,59","12,02","54,4","7,72","86,45",,,,13453
Monte Carlo (SC),"16,2","16,9","4,3",100,"64,3","1065,32","72,78","150,57",0,74,"8,67","5,21","1,03","12,06","6,35","17,15","58,23","26,07","99,76",,,100,9785
Monte Carmelo (MG),"5,9","18,8","5,4",100,"75,2","1046,89","46,89","210,79","14,9","77,32","7,12","6,65","5,79","32,13","6,84","8,37","45,11","33,99",100,"96,95","80,64",100,48248
Monte Castelo (SC),"11,6",26,"4,5",100,"73,4","1040,39","52,81","93,08","15,15","65,15","11,36","6,96","3,15","31,46","8,36","21,07","71,01","53,44",100,,,100,8471
Monte Castelo (SP),"3,4","5,1","4,8",100,"87,5","1193,41","46,52","177,25",0,"69,23","2,56","9,31","3,44","27,27","8,98","23,04","47,79","8,18",100,100,100,100,4190
Monte das Gameleiras (RN),"31,5","45,8",,"77,08","45,4","1087,29","408,85","134,47",0,"73,81","7,14","5,51","0,87","8,99","13,51","69,4","73,02","32,62",100,,,,2178
Monte do Carmo (TO),"29,8",32,"3,7","89,09","34,5","758,75","209,29","76,24","7,46","66,42","5,97","4,63","0,71","22,74","10,62","28,25","78,88","78,21",100,,,"98,5",7770
Monte Formoso (MG),"12,5","33,8",4,"79,7","45,5","822,41","235,15","48,12",0,65,10,"7,7","0,33","19,34","13,58","19,07","78,76","40,58",100,"82,08",0,100,4936
Monte Horebe (PB),"34,5","38,1","3,7","94,43","27,6","1163,23","302,55","133,46","40,82","75,51","8,16","6,42","0,67","19,64","12,03","70,13","81,7","75,74",100,"99,33","0,33",100,4825
Monteiro Lobato (SP),"14,4","25,8","4,9","81,89","70,2","1139,81","68,05","315,23",0,"57,14","14,29","7,25",0,"13,46","9,57","31,61","59,21","54,29",100,"91,29",100,100,4549
Monteiro (PB),"12,9","25,3","4,5","98,02","46,6","944,89","207,01","255,6","14,23","63,41","5,69","7,81","11,06","24,93","13,48","58,18","75,79","59,7",100,"91,56",100,,33294
Monteirópolis (AL),"44,8","44,6","2,7","66,14","42,9","974,98","343,51","125,66","26,79","66,07","5,36","7,71","1,42","10,07","25,01","59,4","86,28","3,6","86,02",,,,7260
Monte Mor (SP),"14,1","16,2","5,1","78,92","76,7","1788,76","100,31","119,16","12,96","80,99","8,42","5,43","0,33","13,94","9,57","26,13","68,63","5,6",100,"92,68",100,"98,42",57240
Monte Negro (RO),"23,6","29,4","4,9","77,72","49,4","949,11","54,53","108,84",10,"82,5",6,"3,83","3,28","27,77","10,77","6,33","50,75","26,14","60,5",,,,16186
Montenegro (RS),"19,4","28,3","4,6",100,"49,7","1624,33","29,1","109,41","5,13","86,46","7,49","7,42","0,71","18,46","9,08","21,08","59,72","72,69","97,49",,,100,63868
Montes Altos (MA),"35,6",49,"3,8","81,63",17,"932,24","257,66","155,13","11,3","50,85","3,95","8,1","17,78","40,93","8,96","40,95","80,5","75,82","99,98",,,"86,76",8889
Monte Santo (BA),"42,1","50,8",3,"82,97","24,8","1209,44","321,42",192,"20,75","58,51","7,33","6,2","4,52","23,14","14,49","71,21","85,91","37,6",100,,,100,51953
Monte Santo de Minas (MG),"11,9","20,1","4,8",100,"62,2","940,22","57,4","196,7","14,35","91,39","6,22","8,29","1,45","22,55","7,52","12,89","55,04","24,57","95,66","94,59",0,100,21949
Monte Santo do Tocantins (TO),"13,8",,4,"78,14","38,8","936,76","192,75","70,92",0,"61,11","5,56","7,07",0,20,"10,68","35,25","67,53","59,85",100,,,,2264
Montes Claros de Goiás (GO),"8,6","17,1","5,5","65,88","36,5","1270,84","27,82","170,45","17,39","74,78","5,22","6,44","2,58","31,24","8,58","1,7","34,01","28,72","99,93","47,44",0,"70,02",8236
Montes Claros (MG),9,"19,5","4,5","99,3","79,8","1328,51","45,57","189,29","9,88","71,76","9,47","5,1","0,74","19,54","6,81","13,19","49,91","45,02","87,4","86,58","87,98",100,402027
Monte Sião (MG),"15,2","23,3","4,7",100,"62,4","1020,41","14,19","175,06","8,97","78,92","8,97","5,37","1,63","23,71","7,92","7,43","27,13","12,35",100,"96,55","94,02",,23444
Montezuma (MG),"8,3","18,2","4,5","83,49","69,7","689,31","127,25","24,3","11,49","93,1","10,34","5,02","0,27","16,96","12,62","29,45","72,63","35,43","94,48",,,100,8168
Montividiu do Norte (GO),"16,6","28,1",5,"92,35","32,4","1221,21","244,28","82,49",0,"64,86","8,11","4,5",0,"13,49","9,3","5,37","80,9","51,62",100,,,,4447
Montividiu (GO),"11,8","23,2","4,6",95,"67,7","1496,14","50,99","112,48","11,98","71,86","7,78","4,7","2,12","28,85","12,27","10,76","50,57","16,97",100,"56,71",100,,12566
Morada Nova (CE),"24,7",42,"4,4","66,63","48,7","952,52","264,24","203,8","9,27","75,36","6,36","7,77","4,36","23,51","15,75","58,45","79,36","48,03","99,7","4,56",100,,61548
Morada Nova de Minas (MG),"8,6","29,4","5,3",100,"34,9","1097,07","33,11","152,18","23,53","76,47","5,88","6,43","1,86","31,54","8,94","5,92","42,42","31,96","91,67","38,93",100,,8860
Moraújo (CE),"16,2","33,8","4,9","67,78","41,7","790,95","296,71","23,54","18,35","77,98","7,34","5,67","0,84","10,77","17,78","65,14","78,99","84,08","72,8",,,,8636
Moreilândia (PE),"20,6","29,2","4,6","87,89","38,4","943,19","320,93","210,88",0,"75,51","6,8","4,54","7,57","28,72","10,3","65,8","81,1","55,9","78,72",,,100,11238
Moreira Sales (PR),17,"27,7","4,4",100,"66,5","1162,04","69,08","135,32","6,33","87,97","6,33","10,62","0,56","21,81","9,07","16,55","43,56","9,38",100,,,100,12621
Moreno (PE),"25,3","24,1","3,3","80,8","42,9","1111,18","185,33","308,35","15,83","51,98","7,26","6,65","1,3","17,61","9,89","52,56","78,16","21,2","90,83","34,04",100,"94,17",62119
Mormaço (RS),"15,1","32,3","4,5",100,"56,9","1347,51","56,53",87,"58,82","76,47","29,41","10,05","0,42","13,33","5,78","6,72","57,04","17,94","98,16",,,,2986
Morpará (BA),"28,1","41,1","3,5","85,81","11,6","919,16",322,"145,7","27,78","67,59","4,63","7,37","1,83","10,82","11,83","66,52","85,99","79,29",100,,,,8950
Morretes (PR),"22,2","40,3","3,8","91,72","74,8","1198,39","122,25","151,32","17,32","78,35","9,09","8,04","0,45","26,76","5,33","35,63","68,47","91,15",100,100,100,,16540
Morrinhos (CE),"6,9","20,6","5,8",100,"27,7","799,47","162,61","183,42","6,35","82,22","5,4","5,13","2,6","27,72","19,35","56,91","80,14","71,06","84,76",,,100,22222
Morrinhos do Sul (RS),"11,5","16,9","5,5",100,"54,9","1397,97","24,56","24,31","30,3","78,79","12,12","6,63","0,58","9,38","7,21","9,69","32,68","48,61","92,81","97,06",0,"92,81",3166
Morrinhos (GO),"19,5","24,3","5,1",100,"42,1","1418,84","48,57","167,67","9,48","74,09","7,9","6,43","2,64","26,57","6,58","3,06","35,36","24,59","99,42","82,88",100,,45382
Morro Agudo de Goiás (GO),"5,8","17,9","5,2",100,"26,8","1044,36","128,91","57,04",,"80,95","4,76","8,08","6,33","34,19","9,33","23,13",61,"27,29",100,,,"60,75",2351
